ESDname,number of schools in district,School Name,ODS Provider,Other ODS option,Estimated Cost From School,Grade 5 Students,Grade 6 Students,days and nights,"total price per student, calculated from school data",Is the money enough,If less than threshold,ODS Provider Fees,Transportation,Personell Stipends,Program Costs (w/o admin fees),total cost - PRELIMINARY,,,
North Powder SD 8J,1,North Powder Elementary,Buck Creek Cabin,,,24,22,3 Days 2 Nights,0,Yes,197,,,,,9062, , , 
Ione SD R2,1,Ione Community School,None (School / Applying District is provider),,,0,12,4 Days 3 Nights,0,Yes,440,,,,,5280, , , 
Elgin SD 23,1,Stella Mayfield Elementary,None (School / Applying District is provider),,,30,30,4 Days 3 Nights,0,Yes,250,,,,,15000, , , 
Milton-Freewater Unified SD 7,1,Freewater Elementary School,None (School / Applying District is provider),,,130,0,3 Days 2 Nights,0,Yes,198,,,,,25740, , , 
Jefferson County SD 509J,2,Jefferson County Middle School ,Camp Tamarack,,Provider Costs,0,165,3 Days 2 Nights,180,No,,180,10,,,29700, , , 
Jefferson County SD 509J,2,Warm Springs K-8 Academy,Camp Tamarack,,Provider Costs,66,0,3 Days 2 Nights,180,No,,180,10,,,11880, , , 
Grants Pass SD 7,1,South Middle School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Provider Costs,Other",0,240,3 Days 2 Nights,0,No,,,,,,no price per student found, , , 
Creswell SD 40,1,Creswell Middle School,None (School / Applying District is provider),,,0,100,4 Days 3 Nights,0,Yes,150,,,,,15000, , , 
Pilot Rock SD 2,1,Pilot Rock Jr/Sr High School,None (School / Applying District is provider),,,0,32,4 Days 3 Nights,0,Yes,248,,,,,7936, , , 
Neah-Kah-Nie SD 56,1,Neah-Kah-Nie Middle School,Northwest Regional Education Service District,,,0,75,4 Days 3 Nights,0,Yes,300,,,,,22500, , , 
Harper SD 66,1,Harper Charter School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Small Class Size",8,0,3 Days 2 Nights,0,No,,,,,,no price per student found, , , 
Pleasant Hill SD 1,1,Pleasant Hill High School (Middle),None (School / Applying District is provider),,,0,78,4 Days 3 Nights,0,Yes,248,,,,,19344, , , 
Crook County SD,4,Crook County Middle School,None (School / Applying District is provider),,,0,207,5 Days 4 Nights,0,Yes,304,,,,,62928, , , 
Crook County SD,4,Paulina Elementary School,None (School / Applying District is provider),,,0,2,5 Days 4 Nights,0,Yes,304,,,,,608, , , 
Crook County SD,4,Brothers Elementary School,None (School / Applying District is provider),,,0,2,5 Days 4 Nights,0,Yes,304,,,,,608, , , 
Crook County SD,4,Powell Butte Community Charter School,None (School / Applying District is provider),,,0,27,5 Days 4 Nights,0,Yes,304,,,,,8208, , , 
Adrian SD 61,1,Adrian School District,Other,Lake Creek Campground,,0,27,4 Days 3 Nights,0,Yes,248,,,,,6696, , , 
Imbler SD 11,1,Imbler Elementary School,None (School / Applying District is provider),,,0,25,3 Days 2 Nights,0,Yes,198,,,,,4950, , , 
,1,slakd,,,,12,0,,0,,,,,,,no price per student found, , , 
Harney County SD 3,1,Hines Middle School,OMSI,,,0,65,3 Days 2 Nights,0,Yes,195,,,,,12675, , , 
Jewell SD 8,1,Jewell School ,Northwest Regional Education Service District,,Traveling Long Distance to Facility,0,13,4 Days 3 Nights,284,No,,239,20,45,,3692, , , 
Winston-Dillard SD 116,2,Lookingglass Elementary,OMSI,,,35,28,5 Days 4 Nights,0,Yes,330,,,,,20790, , , 
Winston-Dillard SD 116,2,McGovern Elementary,OMSI,,,75,80,5 Days 4 Nights,0,Yes,320,,,,,49600, , , 
Cove SD 15,1,Cove Charter School,Undecided,,"Traveling Long Distance to Facility,Provider Costs,Other",0,25,3 Days 2 Nights,205,No,,155,48,50,,5125, , , 
Pendleton SD 16,1,Sunridge Middle School,Buck Creek Cabin,,,0,280,3 Days 2 Nights,0,Yes,160,,,,,44800, , , 
Cascade SD 5,1,Cascade Junior High,None (School / Applying District is provider),,,0,165,5 Days 4 Nights,0,Yes,200,,,,,33000, , , 
Athena-Weston SD 29RJ,1,Weston Middle School,None (School / Applying District is provider),,,0,60,5 Days 0 Nights,0,Yes,135,,,,,8100, , , 
Hood River County SD,2,Hood River Middle School,Multnomah Education Service District,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,195,4 Days 3 Nights,442,No,,425,7,17,,86190, , , 
Hood River County SD,2,Wy'east Middle School,Multnomah Education Service District,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,125,4 Days 3 Nights,445,No,,425,8,20,,55625, , , 
Yamhill Carlton SD 1,1,Yamhill Carlton Intermediate School,Northwest Regional Education Service District,,,0,80,4 Days 3 Nights,0,Yes,248,,,,,19840, , , 
North Marion SD 15,1,North Marion Middle School,Multnomah Education Service District,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,150,3 Days 2 Nights,0,No,,,,,,no price per student found, , , 
Blachly SD 90,1,Triangle Lake Charter School ,None (School / Applying District is provider),,"Need Supplies and Material to start Outdoor School Experience,Small Class Size,Other",21,0,6 Days 5 Nights,0,No,,,,,,no price per student found, , , 
Centennial SD 28J,7,Oliver Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,50,6 Days 5 Nights,504,No,,478,,26,,25200, , , 
Centennial SD 28J,7,Parklane Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,52,6 Days 5 Nights,503,No,,478,,25,,26156, , , 
Centennial SD 28J,7,Wood Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,74,6 Days 5 Nights,505,No,,478,,27,,37370, , , 
Centennial SD 28J,7,Patrick Lynch Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,77,6 Days 5 Nights,503,No,,478,,25,,38731, , , 
Centennial SD 28J,7,Meadows Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,62,6 Days 5 Nights,499,No,,478,,21,,30938, , , 
Centennial SD 28J,7,Pleasant Valley Elementary,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,81,6 Days 5 Nights,502,No,,478,,24,,40662, , , 
Centennial SD 28J,7,Butler Creek,Multnomah Education Service District,,"Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",0,71,6 Days 5 Nights,505,No,,478,,27,,35855, , , 
Harrisburg SD 7J,1,Harrisburg Middle School,Northwest Regional Education Service District,,,0,70,3 Days 2 Nights,0,Yes,195,,,,,13650, , , 
Vale SD 84,1,Willowcreek Elementary School,McCall Outdoor Science School,,,16,11,5 Days 4 Nights,0,Yes,342,,,,,9234, , , 
Amity SD 4J,1,Amity Elementary School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Small Class Size,Other",75,0,4 Days 3 Nights,114,No,,65,20,44,5,8550, , , 
Jefferson SD 14J,1,Jefferson Middle School,Other,Twin Rocks Friends Camp,,0,62,3 Days 2 Nights,0,Yes,165,,,,,10230, , , 
Sherman County SD,1,Sherman County School,None (School / Applying District is provider),,,0,25,5 Days 4 Nights,0,Yes,342,,,,,8550, , , 
Union SD 5,1,Union Elementary,Buck Creek Cabin,,"Traveling Long Distance to Facility,Provider Costs,Small Class Size",0,30,3 Days 2 Nights,135,Yes,$35 ,100,98,20,15,4050, , , 
Stanfield SD 61,1,Stanfield Elementary School,None (School / Applying District is provider),,,32,0,4 Days 3 Nights,0,Yes,186,,,,,5952, , , 
Vernonia SD 47J,1,Vernonia Middle School,None (School / Applying District is provider),,,52,0,5 Days 4 Nights,0,Yes,225,,,,,11700, , , 
Estacada SD 108,1,Estacada Middle School,Northwest Regional Education Service District,,,0,129,4 Days 0 Nights,0,Yes,244,,,,,31476, , , 
Prospect SD 59,1,Prospect Charter School,OMSI,,"Traveling Long Distance to Facility,Small Class Size",0,20,3 Days 2 Nights,200,No,,170,107,,30,4000, , , 
North Clackamas SD 12,5,Aldercreek Middle School,Northwest Regional Education Service District,,,0,326,4 Days 3 Nights,0,Yes,240,,,,,78240, , , 
North Clackamas SD 12,5,Happy Valley Middle School,Northwest Regional Education Service District,,,0,345,4 Days 3 Nights,0,Yes,235,,,,,81075, , , 
North Clackamas SD 12,5,Rock Creek Middle School,Northwest Regional Education Service District,,,0,280,4 Days 3 Nights,0,Yes,240,,,,,67200, , , 
North Clackamas SD 12,5,Rowe Middle School,Northwest Regional Education Service District,,,0,280,4 Days 3 Nights,0,Yes,235,,,,,65800, , , 
North Clackamas SD 12,5,Cascade Heights Public Charter,Other,NOAA & Hatfield Marine Science Center,,0,28,5 Days 4 Nights,0,Yes,270,,,,,7560, , , 
John Day SD 3,2,Humbolt,Other,Lake Creek Campground,Other,0,60,4 Days 3 Nights,0,Yes,0,,,,,no price per student found, , , 
John Day SD 3,2,Seneca,Other,Lake Creek,Other,0,10,4 Days 3 Nights,0,Yes,0,,,,,no price per student found, , , 
Bend-LaPine Administrative SD 1,19,Amity Creek,Camp Tamarack,,,30,0,3 Days 2 Nights,0,Yes,198,,,,,5940, , , 
Bend-LaPine Administrative SD 1,19,Bear Creek,Camp Tamarack,,,95,0,3 Days 2 Nights,0,Yes,198,,,,,18810, , , 
Bend-LaPine Administrative SD 1,19,Buckingham,Camp Tamarack,,,89,0,3 Days 2 Nights,0,Yes,198,,,,,17622, , , 
Bend-LaPine Administrative SD 1,19,Elk Meadow,Camp Tamarack,,,107,0,3 Days 2 Nights,0,Yes,198,,,,,21186, , , 
Bend-LaPine Administrative SD 1,19,High Lakes,Camp Tamarack,,,127,0,3 Days 2 Nights,0,Yes,198,,,,,25146, , , 
Bend-LaPine Administrative SD 1,19,Juniper,Camp Tamarack,,,105,0,3 Days 2 Nights,0,Yes,198,,,,,20790, , , 
Bend-LaPine Administrative SD 1,19,La Pine Elementary,Camp Tamarack,,,80,0,3 Days 2 Nights,0,Yes,198,,,,,15840, , , 
Bend-LaPine Administrative SD 1,19,Lava Ridge,Camp Tamarack,,,95,0,3 Days 2 Nights,0,Yes,198,,,,,18810, , , 
Bend-LaPine Administrative SD 1,19,Ensworth,Undecided,,,38,0,3 Days 2 Nights,0,Yes,198,,,,,7524, , , 
Bend-LaPine Administrative SD 1,19,Pine Ridge,Camp Tamarack,,,95,0,3 Days 2 Nights,0,Yes,198,,,,,18810, , , 
Bend-LaPine Administrative SD 1,19,Ponderosa,Camp Tamarack,,,117,0,3 Days 2 Nights,0,Yes,198,,,,,23166, , , 
Bend-LaPine Administrative SD 1,19,RE Jewell,Camp Tamarack,,,94,0,3 Days 2 Nights,0,Yes,198,,,,,18612, , , 
Bend-LaPine Administrative SD 1,19,Rosland,Camp Tamarack,,,30,0,3 Days 2 Nights,0,Yes,198,,,,,5940, , , 
Bend-LaPine Administrative SD 1,19,Silver Rail,Camp Tamarack,,,95,0,3 Days 2 Nights,0,Yes,198,,,,,18810, , , 
Bend-LaPine Administrative SD 1,19,Three Rivers,Camp Tamarack,,,48,0,3 Days 2 Nights,0,Yes,198,,,,,9504, , , 
Bend-LaPine Administrative SD 1,19,WE Miller,Camp Tamarack,,,115,0,3 Days 2 Nights,0,Yes,198,,,,,22770, , , 
Bend-LaPine Administrative SD 1,19,Westside Village,Camp Tamarack,,,30,0,3 Days 2 Nights,0,Yes,198,,,,,5940, , , 
Bend-LaPine Administrative SD 1,19,Bend International School,Camp Tamarack,,,25,0,3 Days 2 Nights,0,Yes,198,,,,,4950, , , 
Bend-LaPine Administrative SD 1,19,Highland ,Undecided,,,64,0,3 Days 2 Nights,0,Yes,198,,,,,12672, , , 
North Santiam SD 29J,3,Sublimity Middle School,OMSI,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",53,0,3 Days 2 Nights,366,No,,230,6,100,36,19398, , , 
North Santiam SD 29J,3,Mari-Linn School,OMSI,,"Traveling Long Distance to Facility,Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",32,0,4 Days 3 Nights,550,No,,225,10,309,16,17600, , , 
North Santiam SD 29J,3,Stayton Middle School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,140,5 Days 4 Nights,256,No,,,5,121,135,35840, , , 
North Bend SD 13,1,North Bend Middle School,OMSI,,,0,190,3 Days 2 Nights,0,Yes,195,,,,,37050, , , 
Tigard-Tualatin SD 23J,3,Fowler Middle School,Northwest Regional Education Service District,,,0,265,3 Days 2 Nights,0,Yes,198,,,,,52470, , , 
Tigard-Tualatin SD 23J,3,Hazelbrook Middle School,Northwest Regional Education Service District,,,0,280,3 Days 2 Nights,0,Yes,198,,,,,55440, , , 
Tigard-Tualatin SD 23J,3,Twality Middle School,Northwest Regional Education Service District,,,0,290,3 Days 2 Nights,0,Yes,198,,,,,57420, , , 
Corvallis SD 509J,9,Adams,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",66,0,3 Days 2 Nights,219,No,,199,,20,,14454, , , 
Corvallis SD 509J,9,Garfield,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",59,0,3 Days 2 Nights,221,No,,199,,22,,13039, , , 
Corvallis SD 509J,9,Hoover,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",82,0,3 Days 2 Nights,214,No,,198,,16,,17548, , , 
Corvallis SD 509J,9,Jefferson,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",73,0,3 Days 2 Nights,266,No,,211,,55,,19418, , , 
Corvallis SD 509J,9,Lincoln,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",58,0,3 Days 2 Nights,223,No,,199,,24,,12934, , , 
Corvallis SD 509J,9,Mountain View,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",58,0,3 Days 2 Nights,212,No,,188,,24,,12296, , , 
Corvallis SD 509J,9,Wilson,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",93,0,3 Days 2 Nights,212,No,,198,,14,,19716, , , 
Corvallis SD 509J,9,Franklin,OMSI,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",30,0,3 Days 2 Nights,243,No,,198,,45,,7290, , , 
Corvallis SD 509J,9,Muddy Creek,Klamath Outdoor Science School,,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",22,0,4 Days 3 Nights,262,No,,239,,23,,5764, , , 
Lebanon Community SD 9,7,Seven Oak Middle School,Other,South Santiam Watershed Council,,0,165,3 Days 2 Nights,0,Yes,198,,,,,32670, , , 
Lebanon Community SD 9,7,Cascades Elementary School,Undecided,,,0,55,3 Days 2 Nights,0,Yes,198,,,,,10890, , , 
Lebanon Community SD 9,7,Green Acres School,Undecided,,,0,55,3 Days 2 Nights,0,Yes,198,,,,,10890, , , 
Lebanon Community SD 9,7,Hamilton Creek School,Other,Coast Range Natural Resources Education Organization,,0,40,5 Days 4 Nights,0,Yes,342,,,,,13680, , , 
Lebanon Community SD 9,7,Lacomb School,Other,Coast Range Natural Resources Education Organization,,0,35,5 Days 4 Nights,0,Yes,342,,,,,11970, , , 
Lebanon Community SD 9,7,Pioneer School,Other,South Santiam Watershed Council,,0,70,3 Days 2 Nights,0,Yes,198,,,,,13860, , , 
Lebanon Community SD 9,7,Sand Ridge Charter School,Other,South Santiam Watershed Council,,0,35,3 Days 2 Nights,0,Yes,198,,,,,6930, , , 
Gladstone SD 115,1,Kraxberger Middle School,None (School / Applying District is provider),,"Special Needs of Students require additional staff/special travel arrangements,Provider Costs",0,175,5 Days 4 Nights,439,No,,,25,201,238,76825, , , 
Phoenix-Talent SD 4,3,Orchard Hill Elementary School,OMSI,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Translation or Interpretation Services",57,0,3 Days 2 Nights,303,No,,190,95,34,79,17271, , , 
Phoenix-Talent SD 4,3,Phoenix Elementary School,OMSI,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",60,0,3 Days 2 Nights,300,No,,190,95,34,76,18000, , , 
Phoenix-Talent SD 4,3,Talent Elementary School,OMSI,,"Traveling Long Distance to Facility,Special Needs of Students require additional staff/special travel arrangements,Provider Costs,Translation or Interpretation Services",84,0,3 Days 2 Nights,302,No,,190,95,34,78,25368, , , 
Greater Albany Public SD 8J,4,Calapooia Middle School,Other,Calapooia Watershed Council,,0,196,3 Days 2 Nights,0,Yes,181,,,,,35476, , , 
Greater Albany Public SD 8J,4,Memorial Middle School,Other,Calapooia Watershed Council,,0,182,3 Days 2 Nights,0,Yes,181,,,,,32942, , , 
Greater Albany Public SD 8J,4,North Albany Middle School,Other,Calapooia Watershed Council,,0,205,3 Days 2 Nights,0,Yes,181,,,,,37105, , , 
Greater Albany Public SD 8J,4,Timber Ridge School,Other,Calapooia Watershed Council,,0,126,3 Days 2 Nights,0,Yes,181,,,,,22806, , , 
Philomath SD 17J,2,Philomath Middle School,None (School / Applying District is provider),,,0,120,5 Days 4 Nights,0,Yes,342,,,,,41040, , , 
Philomath SD 17J,2,Kings Valley Charter School,None (School / Applying District is provider),,,0,25,3 Days 2 Nights,0,Yes,198,,,,,4950, , , 
Gaston SD 511J,1,Gaston Elementary School,Northwest Regional Education Service District,,,0,36,4 Days 3 Nights,0,Yes,248,,,,,8928, , , 
Central Curry SD 1,1,Riley Creek Elementary,None (School / Applying District is provider),,,0,32,3 Days 2 Nights,0,Yes,100,,,,,3200, , , 
Monroe SD 1J,1,Monroe Grade School,Other,CRNREO,,0,35,5 Days 4 Nights,0,Yes,342,,,,,11970, , , 
Dallas SD 2,2,LaCreole M.S.,Other,Camp Tapawingo,,0,200,3 Days 2 Nights,0,Yes,103,,,,,20600, , , 
Dallas SD 2,2,Lukiamute Charter School,Other,Camp Tapawingo,,0,20,3 Days 2 Nights,0,Yes,175,,,,,3500, , , 
Scio SD 95,1,Scio Middle School,Other,CRNREO,,0,60,5 Days 4 Nights,0,Yes,342,,,,,20520, , , 
McMinnville SD 40,3,Grandhaven Elementary School,OMSI,,,105,0,3 Days 2 Nights,0,Yes,171,,,,,17955, , , 
McMinnville SD 40,3,Columbus Elementary School,None (School / Applying District is provider),,,100,0,3 Days 2 Nights,0,Yes,92,,,,,9200, , , 
McMinnville SD 40,3,Sue Buel Elementary School,None (School / Applying District is provider),,,80,0,3 Days 0 Nights,0,Yes,80,,,,,6400, , , 
Four Rivers,1,Four Rivers Community School,McCall Outdoor Science School,,"Traveling Long Distance to Facility,Provider Costs,Small Class Size",0,30,4 Days 3 Nights,366,No,,216,8,50,100,10980, , , 
Santiam Canyon SD 129J,1,Santiam Elementary School,Other,Tillamook Outdoor School,,0,51,5 Days 4 Nights,0,Yes,280,,,,,14280, , , 
Multnomah ESD,1,The Cottonwood School of Civics and Science ,OMSI,,"Traveling Long Distance to Facility,Provider Costs",24,24,4 Days 3 Nights,280,No,,280,75,,,13440, , , 
Lake Oswego SD 7J,2,Lake Oswego Junior High,Northwest Regional Education Service District,,,0,247,4 Days 3 Nights,0,Yes,220,,,,,54340, , , 
Lake Oswego SD 7J,2,Lakeridge Junior High,Northwest Regional Education Service District,,,0,280,4 Days 3 Nights,0,Yes,219,,,,,61320, , , 
Springfield SD 19,5,Thurston Middle School,Other,Multiple Community Partners,,0,200,3 Days 2 Nights,0,Yes,80,,,,,16000, , , 
Springfield SD 19,5,Agnes Stewart Middle School,Other,Whole Earth Nature School,,0,205,4 Days 0 Nights,0,Yes,72,,,,,14760, , , 
Springfield SD 19,5,Briggs Middle School,None (School / Applying District is provider),,,0,185,3 Days 2 Nights,0,Yes,85,,,,,15725, , , 
Springfield SD 19,5,Hamlin Middle School,Other,Whole Earth Nature School,,0,235,3 Days 0 Nights,0,Yes,71,,,,,16685, , , 
Springfield SD 19,5,Willamette Leadership Academy,None (School / Applying District is provider),,,0,65,3 Days 2 Nights,0,Yes,41,,,,,2665, , , 
Bethel SD 52,7,Clear Lake Elementary,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",50,0,3 Days 2 Nights,282,No,,170,8,112,,14100, , , 
Bethel SD 52,7,Danebo Elementary,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",50,0,3 Days 2 Nights,302,No,,170,8,132,,15100, , , 
Bethel SD 52,7,Fairfield,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",70,0,3 Days 2 Nights,224,No,,168,8,56,,15680, , , 
Bethel SD 52,7,Irving,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",65,0,3 Days 2 Nights,230,No,,170,9,60,,14950, , , 
Bethel SD 52,7,Malabon Elementary,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",80,0,3 Days 2 Nights,246,No,,169,8,77,,19680, , , 
Bethel SD 52,7,Meadow View School,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",100,0,3 Days 2 Nights,242,No,,170,8,72,,24200, , , 
Bethel SD 52,7,Prairie Mountain School,Undecided,,"Special Needs of Students require additional staff/special travel arrangements,Other",80,0,3 Days 2 Nights,242,No,,170,8,72,,19360, , , 
Port Orford-Langlois SD 2CJ,1,Driftwood Elementary,Other,South Slough/Camp Myrtlewood,"Traveling Long Distance to Facility,Small Class Size",0,17,3 Days 0 Nights,32,No,,0,58,29,3,544, , , 
Woodburn SD 103,2,Valor Middle school,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements",0,250,3 Days 0 Nights,116,No,,88,21,18,10,29000, , , 
Woodburn SD 103,2,French Prairie Middle School,None (School / Applying District is provider),,"Traveling Long Distance to Facility,Need Supplies and Material to start Outdoor School Experience,Special Needs of Students require additional staff/special travel arrangements",0,250,3 Days 0 Nights,116,No,,88,21,18,10,29000, , , 
Hillsboro SD 1J,26,Patterson Elementary ,Northwest Regional Education Service District,,,0,87,3 Days 2 Nights,0,Yes,189,,,,,16443, , , 
Hillsboro SD 1J,26,Farmington View ,Northwest Regional Education Service District,,,0,40,3 Days 2 Nights,0,Yes,193,,,,,7720, , , 
Hillsboro SD 1J,26,Quatama Elementary ,Northwest Regional Education Service District,,,0,85,3 Days 2 Nights,0,Yes,197,,,,,16745, , , 
Hillsboro SD 1J,26,Reedville Elementary ,Northwest Regional Education Service District,,,0,40,3 Days 2 Nights,0,Yes,197,,,,,7880, , , 
Hillsboro SD 1J,26,Imlay Elementary ,Northwest Regional Education Service District,,,0,68,3 Days 2 Nights,0,Yes,196,,,,,13328, , , 
Hillsboro SD 1J,26,Witch Hazel ,Northwest Regional Education Service District,,,0,70,3 Days 2 Nights,0,Yes,196,,,,,13720, , , 
Hillsboro SD 1J,26,Lincoln Street ,Northwest Regional Education Service District,,,0,85,3 Days 2 Nights,0,Yes,198,,,,,16830, , , 
Hillsboro SD 1J,26,Rosedale,Northwest Regional Education Service District,,,0,60,3 Days 2 Nights,0,Yes,196,,,,,11760, , , 
Hillsboro SD 1J,26,McKinney Elementary ,Northwest Regional Education Service District,,,0,70,3 Days 2 Nights,0,Yes,197,,,,,13790, , , 
Hillsboro SD 1J,26,North Plains ,Northwest Regional Education Service District,,,0,70,3 Days 2 Nights,0,Yes,192,,,,,13440, , , 
Hillsboro SD 1J,26,Eastwood Elementary ,Northwest Regional Education Service District,,,0,65,3 Days 2 Nights,0,Yes,197,,,,,12805, , , 
Hillsboro SD 1J,26,West Union Elementary ,Northwest Regional Education Service District,,,0,45,3 Days 2 Nights,0,Yes,195,,,,,8775, , , 
